No,Nama Produk,Harga,Rating,Terjual,Toko,Lokasi
4326,Dell Latitude 7400 i5 8th 16GB 512GB / Dell latitude 7390 7490 7290,3500000,5.0,30+ terjual,Mr Hanzo,Jakarta Pusat
4327,LCD LED Dell xps 9300 9310 9320 P117G P117G001MFG LQ134N1JW42 13.4 ins,3500000,Tidak Ada Rating,Tidak Ada Data,Elektriko Mandiri,Jakarta Utara
4328,ULTRABOOK PREMIUM ! LENOVO X1 CARBON Core i5 6TH 8GB/1TB SSD,3500000,4.8,100+ terjual,RedStar Electronic,Jakarta Barat
4329,Laptop Asus Vivobook A442U Core i5-8250U Gen 8 Ram 8Gb Vga Nvidia 2Gb,3500000,4.7,4 terjual,V-COMPUTER,Jakarta Barat
4330,"LAPTOP LENOVO THINKPAD X1 CARBON 6TH i5/i7 GEN 8-LAYAR 14"" MULUS!!",3500000,5.0,40+ terjual,Mentarisuryalaptop,Jakarta Utara
4331,LENOVO THINKPAD T495s LAPTOP AMD RYZEN 7 SETIPIS X1 CARBON SIAP GAMING,3499999,4.9,50+ terjual,Trinity Comp,Jakarta Barat
4332,LENOVO THINKPAD X1 CARBON CORE I5 i7 8GB RAM 512GB SSD GAMING KULIAH KERJA WINDOWS 11 BERGARANSI,3499999,5.0,3 terjual,LAPTOPIN.ID OFFICIAL STORE,Bandung
4333,"LAPTOP LENOVO THINKPAD X1 CARBON RAM 16 GB SSD 1 TB ORIGINAL BERGARANSI - i5 Generasi 10, 16 GB / 128 GB",3499999,5.0,4 terjual,LAPTOPIN.ID OFFICIAL STORE,Bandung
4334,"Latop kantor ASUS L410MA N4020 4GB 512GB 14 ich Win 11 Home - UNIT+BONUS, 4GB|256GB SSD",3499000,Tidak Ada Rating,3 terjual,Galeri Laptop Cibinong,Kab. Bogor
4335,"Laptop ZYREX ULTRA N100 8GB 128GB+256GB W11 14.0""",3499000,4.9,17 terjual,Gaming Laptop ID,Jakarta Utara
4336,"ACER A314-22 [AMD 3020E] 4GB RAM | 256GB SSD | 14""FHD",3499000,5.0,11 terjual,SPACECOMP ID,Jakarta Barat
4337,"Laptop Zyrex Ultra Intel N100 8GB 128+256GB W11 14"" FHD",3499000,5.0,1 terjual,AGRES ID,Jakarta Utara
4338,Ultrabook / Laptop Lenovo ThinkPad E585 - 15.6 inch - AMD Series : Ryzen 5 VGA Radeon Vega 8 4GB shared - untuk Gaming Coding,3499000,5.0,2 terjual,Digital Maju Shop,Semarang
4339,LAPTOP 2 IN 1 DELL 5290 INTEL CORE I7 GEN 8 RAM 16 GB SSD 512 GB GASSKEN,3499000,5.0,9 terjual,Computer Center 1,Jakarta Pusat
4340,Axioo MyBook Hype 1 Intel Celeron N4020 4GB/ 8GBSSD 128GB 14″ HD W11 Garansi Resmi,3499000,5.0,8 terjual,KLA Computer,Semarang
4341,Laptop Asus Vivobook A409UA Intel Core I3-7020U 8/256GB,3499000,Tidak Ada Rating,Tidak Ada Data,Sri Laptop BDG,Bandung
4342,LAPTOP LENOVO THINKPAD T490 RAM 24 GB SSD 2 TB SLIM PROMO MURAH BAGUS,3490000,5.0,8 terjual,Raja Murah Pedia,Jakarta Utara
4343,Microsoft Surface Pro 4 Tablet Core i5 6th 8GB 256GB OS10 Ori Mulus,3450000,4.8,26 terjual,ROPINDO COMPUTER,Bekasi
4344,Lenovo Thinkpad L490 | L480 Intel Core I7 | I5 GEN 8 RAM 16GB 14 Inch,3450000,5.0,50+ terjual,Ocean Laptop,Jakarta Barat
4345,Lenovo Thinkpad X1 Carbon Core i7 Gen 8th Touchscreen RAM 16GB LikeNew,3450000,4.9,250+ terjual,FoxComp,Jakarta Pusat
4346,LARIS!!Laptop lenovo X1 Yoga Core i5 Gen 7 RAM 8GB/512 SSD,3450000,4.9,24 terjual,Marvin_electronic,Jakarta Barat
4347,Laptop XIAOMI Redmi Book 15 Layar 15.6 inch  Intel Core i3-1115G4 Gen 11Th Ram 8Gb/SSD 256Gb FHD Body design Slim,3450000,5.0,7 terjual,kajoedstore17,Jakarta Barat
4348,LAPTOP HP ELITEBOOK 840 G6 TOUCHSCREEN CORE i7 GEN 8TH/16GB/512GB/14IN,3450000,5.0,11 terjual,Computer Murah 2021,Jakarta Pusat
4349,LAPTOP LENOVO TOUCHSCREEN YOGA X1 CORE i7 GEN 7 RAM 16GB/SSD 256GB,3450000,4.8,30+ terjual,Marvin_electronic,Jakarta Barat
4350,Laptop Dell 5285 2 in 1 Tablet Touch Core i5 7th RAM 8GB SSD 512GB,3450000,5.0,5 terjual,Bintang jaya 96,Jakarta Timur
4351,LAPTOP HP ELITEBOOK 840 G6 i7 GEN8 RAM 32 GB SSD 2 TB SLIM PROMO MURAH,3440000,4.9,100+ terjual,Raja Murah Pedia,Jakarta Utara
4352,Laptop Pelajar Zyrex Ultra Intel N100 8GB 128GB+256GB SSD FHD Win11,3416000,5.0,30+ terjual,Sentral Komputer Pusat,Jakarta Timur
4353,"Laptop Lenovo X1 Carbon Intel i5 Gen 8 Ram 8GB SSD 256GB 14"" 2K Win 10",3403000,5.0,12 terjual,Laptop Milenial Bandung,Bandung
4354,Laptop Dell latitude 7480 Core i7 Gen 7th Ram 32GB SSD 256GB FHD,3400000,5.0,40+ terjual,MR_elektronik,Jakarta Barat
